variable,reference,lat,lon,mat,map,ph_soil,species,family,genus,photopathway,legume,managed,growthform,functionaltype,broadleaf_conifer,evergreen_deciduous,ninorg_form,ndep_kg_ha_yr,duration_yr,load,value_t,value_c,n_t,n_c,sd_t,sd_c,ln_rr,v,w,cluster,w_dash,,,,,,,,,,,,,,,,
Aarea,Du-2018-Functional Ecology,42.03N,116.28E,2.2,334,8.1,Artemisia frigida,Asteraceae,Artemisia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,8,800,7.882979,7.8510637,12,12,1.021276,0.2872343,0.00406,0.00151,662.14643,26,331.073215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Du-2018-Functional Ecology,42.03N,116.28E,2.2,334,8.1,Artemisia frigida,Asteraceae,Artemisia,C3,non-legumes,Natural,Herb,Forb,NA,NA,NH4NO3,100,9,900,6.382979,5.93617,12,12,1.914894,1.1489364,0.07257,0.01062,94.14643,26,47.073215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Du-2018-Functional Ecology,42.03N,116.28E,2.2,334,8.1,Stipa krylovii,Poaceae,Stipa,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,100,8,800,8.138298,7.882979,12,12,0.861702,0.829787,0.03188,0.0018600000000000001,538.32433,27,269.162165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Du-2018-Functional Ecology,42.03N,116.28E,2.2,334,8.1,Stipa krylovii,Poaceae,Stipa,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,100,9,900,8.457447,7.4042554,12,12,0.510638,1.0212766,0.13299,0.00189,529.32479,27,264.662395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Elvir-2006-Forest Ecology and Management,44.87N,68.11W,4.9,1400,4.8,Acer saccharum,Sapindaceae,Acer,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Deciduous,NH4+,25.2,14,352.8,8.57,7.57,9,9,1.13,1.03,0.12407,0.00399,250.70285,28,125.351425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Elvir-2006-Forest Ecology and Management,44.87N,68.11W,4.9,1400,4.8,Acer saccharum,Sapindaceae,Acer,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Deciduous,NH4+,25.2,13,327.6,8.8,7.31,9,9,1.61,1.03,0.18551,0.00593,168.77325,28,84.386625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Elvir-2006-Forest Ecology and Management,44.87N,68.11W,4.9,1400,4.8,Fagus grandifolia,Fagaceae,Fagus,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Deciduous,NH4+,25.2,14,352.8,8.28,8.7,9,9,1.52,1.39,-0.04948,0.00658,151.95971,29,75.979855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Elvir-2006-Forest Ecology and Management,44.87N,68.11W,4.9,1400,4.8,Fagus grandifolia,Fagaceae,Fagus,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Deciduous,NH4+,25.2,13,327.6,7.73,7.15,9,9,1.29,1.39,0.078,0.00729,137.10477,29,68.552385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Elvir-2006-Forest Ecology and Management,44.87N,68.11W,4.9,1400,4.8,Picea rubens,Pinaceae,Picea,C3,non-legumes,Natural,Woody,Tree,Conifer,Evergreen,NH4+,25.2,14,352.8,9.48,9.56,9,9,1.55,1.87,-0.0084,0.00722,138.47236,30,69.23618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Elvir-2006-Forest Ecology and Management,44.87N,68.11W,4.9,1400,4.8,Picea rubens,Pinaceae,Picea,C3,non-legumes,Natural,Woody,Tree,Conifer,Evergreen,NH4+,25.2,13,327.6,8.19,7.4,9,9,1.97,1.87,0.10143,0.01352,73.94212,30,36.97106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Fang-2018-Forest Ecology and Management,42.90N,122.40E,5.7,450,8.1,Pinus sylvestris var. mongolica,Pinaceae,Pinus,C3,non-legumes,Managed,Woody,Tree,Conifer,Evergreen,Urea,100,5,500,8.82,8.9,10,10,1.011929,0.727324,-0.00903,0.00198,503.98935,31,503.98935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Fetcher-1996-Journal of Ecology,18.3N,68.82W,26.1,3455,NA,Cecropia schreberiana,Urticaceae,Cecropia,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Evergreen,Urea,135,1,135,7.94,5.7,3,10,2.18,7.1,0.3323,0.18037,5.54422,32,5.54422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Fetcher-1996-Journal of Ecology,18.3N,68.82W,26.1,3455,NA,Manilkara bidentata,Sapotaceae,Manilkara,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Evergreen,Urea,135,1,135,1.05,1.1,1,5,0.27,0,-0.0484,0.0667,14.99274,33,14.99274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
